;timestamp;ALLSKY_SFC_LW_DWN
60;1986-03-01;390.77741935483874
61;1986-03-01;371.8
62;1986-03-01;377.3677419354839
63;1986-03-01;368.12
64;1986-03-01;357.258064516129
65;1986-03-01;338.64000000000004
66;1986-03-01;328.7354838709677
67;1986-03-01;349.84838709677416
68;1986-03-01;353.8066666666667
69;1986-03-01;354.60322580645163
70;1986-03-01;375.72666666666663
71;1986-03-01;384.04193548387093
72;1987-03-01;385.2645161290323
73;1987-03-01;394.49285714285713
74;1987-03-01;377.0387096774194
75;1987-03-01;389.6166666666667
76;1987-03-01;367.3322580645161
77;1987-03-01;342.2933333333333
78;1987-03-01;355.916129032258
79;1987-03-01;351.1548387096774
80;1987-03-01;365.6333333333333
81;1987-03-01;370.6
82;1987-03-01;377.14666666666665
83;1987-03-01;382.85483870967744
84;1988-03-01;390.72258064516126
85;1988-03-01;384.0103448275862
86;1988-03-01;378.7838709677419
87;1988-03-01;386.12666666666667
88;1988-03-01;364.68387096774194
89;1988-03-01;345.94
90;1988-04-01;327.7064516129032
91;1988-04-01;343.758064516129
92;1988-04-01;361.11333333333334
93;1988-04-01;359.3806451612903
94;1988-04-01;365.01666666666665
95;1988-04-01;373.22258064516126
96;1989-04-01;389.45806451612907
97;1989-04-01;384.87857142857143
98;1989-04-01;385.2838709677419
99;1989-04-01;369.52666666666664
100;1989-04-01;340.57096774193553
101;1989-04-01;340.68
102;1989-04-01;331.3741935483871
103;1989-04-01;335.28064516129035
104;1989-04-01;349.12666666666667
105;1989-04-01;348.3677419354839
106;1989-04-01;370.4566666666667
107;1989-04-01;372.6548387096774
108;1990-04-01;388.5
109;1990-04-01;383.84285714285716
110;1990-04-01;391.2129032258065
111;1990-04-01;381.96
112;1990-04-01;342.42903225806447
113;1990-04-01;342.01
114;1990-04-01;338.26129032258063
115;1990-04-01;340.258064516129
116;1990-04-01;349.24666666666667
117;1990-04-01;369.83870967741933
118;1990-04-01;383.4866666666667
119;1990-04-01;375.31290322580645
120;1991-05-01;375.90645161290325
121;1991-05-01;378.7714285714286
122;1991-05-01;380.3709677419355
123;1991-05-01;365.67
124;1991-05-01;354.2129032258065
125;1991-05-01;351.6
126;1991-05-01;330.40967741935486
127;1991-05-01;338.03225806451616
128;1991-05-01;344.56
129;1991-05-01;368.0548387096774
130;1991-05-01;364.7933333333333
131;1991-05-01;380.48387096774195
132;1992-05-01;386.39677419354837
133;1992-05-01;383.5103448275862
134;1992-05-01;384.77096774193546
135;1992-05-01;371.39666666666665
136;1992-05-01;363.60322580645163
137;1992-05-01;340.19666666666666
138;1992-05-01;342.36129032258066
139;1992-05-01;339.83870967741933
140;1992-05-01;358.1333333333333
141;1992-05-01;365.68709677419355
142;1992-05-01;377.56666666666666
143;1992-05-01;375.4451612903226
144;1993-05-01;389.10322580645163
145;1993-05-01;383.83214285714286
146;1993-05-01;381.27741935483874
147;1993-05-01;368.22999999999996
148;1993-05-01;347.56451612903226
149;1993-05-01;335.5433333333333
150;1993-05-01;349.5774193548387
151;1993-06-01;335.80967741935484
152;1993-06-01;349.56
153;1993-06-01;367.43225806451613
154;1993-06-01;370.32666666666665
155;1993-06-01;377.3225806451613
156;1994-06-01;384.6
157;1994-06-01;390.825
158;1994-06-01;375.9806451612903
159;1994-06-01;370.7133333333333
160;1994-06-01;349.6548387096774
161;1994-06-01;331.81
162;1994-06-01;332.4258064516129
163;1994-06-01;338.5290322580645
164;1994-06-01;353.88
165;1994-06-01;377.30967741935484
166;1994-06-01;371.13
167;1994-06-01;384.1
168;1995-06-01;396.43870967741935
169;1995-06-01;393.77500000000003
170;1995-06-01;384.10967741935485
171;1995-06-01;368.59666666666664
172;1995-06-01;349.9709677419355
173;1995-06-01;335.88666666666666
174;1995-06-01;341.2096774193548
175;1995-06-01;351.6225806451613
176;1995-06-01;356.7066666666667
177;1995-06-01;360.6548387096774
178;1995-06-01;369.65999999999997
179;1995-06-01;376.6225806451613
180;1996-06-01;391.1064516129032
181;1996-07-01;392.2241379310345
182;1996-07-01;390.80645161290323
183;1996-07-01;372.13666666666666
184;1996-07-01;337.2516129032258
185;1996-07-01;332.0066666666667
186;1996-07-01;324.1548387096774
187;1996-07-01;327.4032258064516
188;1996-07-01;350.63666666666666
189;1996-07-01;364.76129032258063
190;1996-07-01;364.4166666666667
191;1996-07-01;386.5741935483871
192;1997-07-01;390.40967741935486
193;1997-07-01;376.3107142857143
194;1997-07-01;370.92903225806447
195;1997-07-01;356.94
196;1997-07-01;335.5548387096774
197;1997-07-01;338.3066666666667
198;1997-07-01;328.0483870967742
199;1997-07-01;333.76129032258063
200;1997-07-01;359.43
201;1997-07-01;370.4129032258064
202;1997-07-01;385.2433333333333
203;1997-07-01;386.8709677419355
204;1998-07-01;396.7741935483871
205;1998-07-01;400.6107142857143
206;1998-07-01;391.98387096774195
207;1998-07-01;379.78
208;1998-07-01;348.2161290322581
209;1998-07-01;330.77333333333337
210;1998-07-01;333.46774193548384
211;1998-07-01;356.6258064516129
212;1998-08-01;362.99666666666667
213;1998-08-01;359.8741935483871
214;1998-08-01;364.87333333333333
215;1998-08-01;380.2129032258065
216;1999-08-01;396.07096774193553
217;1999-08-01;394.0785714285715
218;1999-08-01;378.05806451612904
219;1999-08-01;360.51666666666665
220;1999-08-01;326.2838709677419
221;1999-08-01;333.47999999999996
222;1999-08-01;331.7741935483871
223;1999-08-01;319.0
224;1999-08-01;345.67333333333335
225;1999-08-01;355.35806451612905
226;1999-08-01;353.19
227;1999-08-01;377.38709677419354
