YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,2,19,-999.0,-999.0,-999.0,-999.0,21.8,18.58,20.19,22.58,-263.26,27.38,17.49,,,,,
1981,2,20,-999.0,-999.0,-999.0,-999.0,21.32,18.18,19.75,21.99,-263.77,26.77,17.4,,,,,
1981,2,21,-999.0,-999.0,-999.0,-999.0,21.4,18.4,19.9,21.98,-264.96,26.12,17.94,,,,,
1981,2,22,-999.0,-999.0,-999.0,-999.0,20.97,18.17,19.57,21.51,-263.99,26.26,17.11,,,,,
1981,2,23,-999.0,-999.0,-999.0,-999.0,20.82,17.99,19.4,21.41,-263.09,26.31,16.25,,,,,
1981,2,24,-999.0,-999.0,-999.0,-999.0,21.17,17.76,19.47,21.73,-263.0,27.08,16.93,,,,,
1981,2,25,-999.0,-999.0,-999.0,-999.0,21.4,18.61,20.01,21.73,-264.23,26.45,17.53,,,,,
1981,2,26,-999.0,-999.0,-999.0,-999.0,21.65,18.08,19.87,22.13,-262.97,27.26,17.08,,,,,
1981,2,27,-999.0,-999.0,-999.0,-999.0,21.56,17.25,19.4,21.9,-261.6,28.11,16.55,,,,,
1981,2,28,-999.0,-999.0,-999.0,-999.0,21.73,17.33,19.53,21.87,-260.21,28.24,15.3,,,,,
1981,3,1,-999.0,-999.0,-999.0,-999.0,22.16,18.3,20.23,22.44,-264.44,27.35,18.64,,,,,
1981,3,2,-999.0,-999.0,-999.0,-999.0,22.01,18.04,20.02,22.94,-262.04,28.2,17.09,,,,,
1981,3,3,-999.0,-999.0,-999.0,-999.0,22.65,18.03,20.34,22.19,-262.35,27.9,17.11,,,,,
1981,3,4,-999.0,-999.0,-999.0,-999.0,20.82,18.69,19.76,21.23,-266.02,25.14,18.02,,,,,
1981,3,5,-999.0,-999.0,-999.0,-999.0,20.83,18.13,19.48,21.75,-264.18,26.42,17.45,,,,,
1981,3,6,-999.0,-999.0,-999.0,-999.0,21.69,18.3,20.0,22.6,-261.58,28.2,16.63,,,,,
1981,3,7,-999.0,-999.0,-999.0,-999.0,21.6,18.98,20.29,22.15,-265.12,26.54,18.5,,,,,
1981,3,8,-999.0,-999.0,-999.0,-999.0,21.72,18.16,19.94,22.12,-263.29,27.4,17.55,,,,,
1981,3,9,-999.0,-999.0,-999.0,-999.0,22.02,19.25,20.63,22.48,-264.33,26.97,18.15,,,,,
1981,3,10,-999.0,-999.0,-999.0,-999.0,21.58,18.48,20.03,22.47,-265.02,26.51,18.39,,,,,
1981,3,11,-999.0,-999.0,-999.0,-999.0,21.01,17.8,19.4,21.43,-263.54,26.72,17.11,,,,,
1981,3,12,-999.0,-999.0,-999.0,-999.0,21.57,17.64,19.61,22.04,-261.81,27.77,16.43,,,,,
1981,3,13,-999.0,-999.0,-999.0,-999.0,21.12,17.87,19.49,21.8,-262.95,27.05,16.86,,,,,
1981,3,14,-999.0,-999.0,-999.0,-999.0,22.01,18.05,20.03,22.76,-260.92,28.84,16.62,,,,,
1981,3,15,-999.0,-999.0,-999.0,-999.0,23.44,19.35,21.4,23.65,-260.83,29.94,17.62,,,,,
1981,3,16,-999.0,-999.0,-999.0,-999.0,22.94,19.85,21.39,22.89,-265.6,27.34,19.8,,,,,
1981,3,17,-999.0,-999.0,-999.0,-999.0,21.74,19.24,20.49,22.56,-264.27,27.05,18.18,,,,,
1981,3,18,-999.0,-999.0,-999.0,-999.0,20.46,18.55,19.51,20.88,-266.58,24.62,18.05,,,,,
1981,3,19,-999.0,-999.0,-999.0,-999.0,20.19,17.87,19.04,20.9,-264.97,25.12,16.94,,,,,
1981,3,20,-999.0,-999.0,-999.0,-999.0,19.95,16.82,18.39,20.79,-262.0,26.3,15.15,,,,,
1981,3,21,-999.0,-999.0,-999.0,-999.0,19.9,17.03,18.47,20.64,-263.04,25.83,15.73,,,,,
1981,3,22,-999.0,-999.0,-999.0,-999.0,19.2,16.55,17.87,19.94,-263.52,24.77,15.15,,,,,
1981,3,23,-999.0,-999.0,-999.0,-999.0,17.93,14.29,16.11,18.64,-262.08,24.48,13.4,,,,,
1981,3,24,-999.0,-999.0,-999.0,-999.0,18.63,15.02,16.83,19.48,-259.26,26.1,12.21,,,,,
1981,3,25,-999.0,-999.0,-999.0,-999.0,19.45,17.07,18.26,20.07,-262.77,25.35,14.97,,,,,
1981,3,26,-999.0,-999.0,-999.0,-999.0,21.21,18.8,20.01,21.73,-263.92,26.58,17.34,,,,,
1981,3,27,-999.0,-999.0,-999.0,-999.0,20.64,18.73,19.69,20.76,-267.24,24.2,18.29,,,,,
1981,3,28,-999.0,-999.0,-999.0,-999.0,20.8,18.04,19.42,21.05,-265.52,25.86,18.23,,,,,
1981,3,29,-999.0,-999.0,-999.0,-999.0,19.2,17.6,18.4,19.27,-266.59,22.46,15.89,,,,,
1981,3,30,-999.0,-999.0,-999.0,-999.0,20.99,18.01,19.5,21.02,-263.99,26.47,17.3,,,,,
1981,3,31,-999.0,-999.0,-999.0,-999.0,19.9,16.58,18.24,20.23,-263.41,25.53,15.79,,,,,
1981,4,1,-999.0,-999.0,-999.0,-999.0,18.46,16.1,17.28,19.05,-264.92,23.3,15.07,,,,,
1981,4,2,-999.0,-999.0,-999.0,-999.0,18.54,15.75,17.14,19.17,-264.17,24.14,15.15,,,,,
1981,4,3,-999.0,-999.0,-999.0,-999.0,19.56,16.19,17.88,20.32,-261.98,25.83,14.65,,,,,
1981,4,4,-999.0,-999.0,-999.0,-999.0,20.33,16.18,18.26,20.26,-262.49,26.0,15.34,,,,,
1981,4,5,-999.0,-999.0,-999.0,-999.0,20.49,16.49,18.49,20.11,-262.63,26.91,16.4,,,,,
